ID,Pred
2021_1101_1104,0.6477940678596497
2021_1101_1111,0.8890564367175102
2021_1104_1111,0.810241624712944
2021_1101_1116,0.6325605809688568
2021_1104_1116,0.47842836380004883
2021_1111_1116,0.03433692455291748
2021_1101_1124,0.3111439347267151
2021_1104_1124,0.19398295879364014
2021_1111_1124,0.00924307107925415
2021_1116_1124,0.26356571912765503
2021_1101_1140,0.7019926607608795
2021_1104_1140,0.5565684139728546
2021_1111_1140,0.04639720916748047
2021_1116_1140,0.6511422693729401
2021_1124_1140,0.8798651918768883
2021_1101_1155,0.7171425819396973
2021_1104_1155,0.5746316313743591
2021_1111_1155,0.04976111650466919
2021_1116_1155,0.6676535308361053
2021_1124_1155,0.8874227032065392
2021_1140_1155,0.5436271727085114
2021_1101_1156,0.840126633644104
2021_1104_1156,0.7368406057357788
2021_1111_1156,0.0979120135307312
2021_1116_1156,0.8063443750143051
2021_1124_1156,0.9423246085643768
2021_1140_1156,0.7117281258106232
2021_1155_1156,0.6262293457984924
2021_1101_1159,0.5138493180274963
2021_1104_1159,0.3602805733680725
2021_1111_1159,0.021365106105804443
2021_1116_1159,0.45578354597091675
2021_1124_1159,0.7666983306407928
2021_1140_1159,0.3318195939064026
2021_1155_1159,0.2520546317100525
2021_1156_1159,0.11318165063858032
2021_1101_1160,0.6042251288890839
2021_1104_1160,0.4485684037208557
2021_1111_1160,0.03056943416595459
2021_1116_1160,0.5474469661712646
2021_1124_1160,0.8259872198104858
2021_1140_1160,0.4176868200302124
2021_1155_1160,0.3273942470550537
2021_1156_1160,0.15565025806427002
2021_1159_1160,0.5356603264808655
2021_1101_1163,0.5685396790504456
2021_1104_1163,0.41249459981918335
2021_1111_1163,0.026495754718780518
2021_1116_1163,0.5107870995998383
2021_1124_1163,0.8038045465946198
2021_1140_1163,0.3823743462562561
2021_1155_1163,0.29583728313446045
2021_1156_1163,0.13726890087127686
2021_1159_1163,0.49891960620880127
2021_1160_1163,0.45927661657333374
2021_1101_1166,0.752495750784874
2021_1104_1166,0.6183167099952698
2021_1111_1166,0.05908668041229248
2021_1116_1166,0.7066620290279388
2021_1124_1166,0.9043323695659637
2021_1140_1166,0.588214635848999
2021_1155_1166,0.49221867322921753
2021_1156_1166,0.26853084564208984
2021_1159_1166,0.69672492146492
2021_1160_1166,0.6621336340904236
2021_1163_1166,0.6508631110191345
2021_1101_1179,0.6623044908046722
2021_1104_1179,0.5110038816928864
2021_1111_1179,0.03893190622329712
2021_1116_1179,0.6084592044353485
2021_1124_1179,0.8591115176677704
2021_1140_1179,0.47956210374832153
2021_1155_1179,0.38473111391067505
2021_1156_1179,0.1914716362953186
2021_1159_1179,0.5970920920372009
2021_1160_1179,0.5583405792713165
2021_1163_1179,0.5459818243980408
2021_1166_1179,0.2687748074531555
2021_1101_1180,0.8509393930435181
2021_1104_1180,0.7525818645954132
2021_1111_1180,0.10547447204589844
2021_1116_1180,0.8189495950937271
2021_1124_1180,0.9466642588376999
2021_1140_1180,0.7284178137779236
2021_1155_1180,0.6454029381275177
2021_1156_1180,0.40804123878479004
2021_1159_1180,0.8118032813072205
2021_1160_1180,0.7863120883703232
2021_1163_1180,0.7777937352657318
2021_1166_1180,0.5168834328651428
2021_1179_1180,0.3619658946990967
2021_1101_1186,0.8306756764650345
2021_1104_1186,0.7232949733734131
2021_1111_1186,0.0920056700706482
2021_1116_1186,0.7953828424215317
2021_1124_1186,0.9384727329015732
2021_1140_1186,0.6974207162857056
2021_1155_1186,0.6100037395954132
2021_1156_1186,0.3720030188560486
2021_1159_1186,0.7875476479530334
2021_1160_1186,0.7597433030605316
2021_1163_1186,0.7505019307136536
2021_1166_1186,0.47901105880737305
2021_1179_1186,0.3277439475059509
2021_1180_1186,0.19360876083374023
2021_1101_1196,0.6982929706573486
2021_1104_1196,0.5522149205207825
2021_1111_1196,0.04562366008758545
2021_1116_1196,0.6471286118030548
2021_1124_1196,0.8779899477958679
2021_1140_1196,0.5209387242794037
2021_1155_1196,0.42460107803344727
2021_1156_1196,0.21842390298843384
2021_1159_1196,0.6362129747867584
2021_1160_1196,0.5986951291561127
2021_1163_1196,0.5866295993328094
2021_1166_1196,0.30253684520721436
2021_1179_1196,0.18699616193771362
2021_1180_1196,0.10174620151519775
2021_1186_1196,0.18910109996795654
2021_1101_1199,0.7279769778251648
2021_1104_1199,0.5877870917320251
2021_1111_1199,0.0523800253868103
2021_1116_1199,0.6795364022254944
2021_1124_1199,0.8927105888724327
2021_1140_1199,0.5570023059844971
2021_1155_1199,0.4604048728942871
2021_1156_1199,0.2442212700843811
2021_1159_1199,0.6691106557846069
2021_1160_1199,0.6330287158489227
2021_1163_1199,0.6213425397872925
2021_1166_1199,0.3340228796005249
2021_1179_1199,0.2100793719291687
2021_1180_1199,0.11580502986907959
2021_1186_1199,0.21237629652023315
2021_1196_1199,0.4072122573852539
2021_1101_1207,0.8842038586735725
2021_1104_1207,0.8027066886425018
2021_1111_1207,0.1362307071685791
2021_1116_1207,0.8581629991531372
2021_1124_1207,0.95958137139678
2021_1140_1207,0.7820201367139816
2021_1155_1207,0.7088407278060913
2021_1156_1207,0.4797109365463257
2021_1159_1207,0.8522853255271912
2021_1160_1207,0.8311367332935333
2021_1163_1207,0.8240053802728653
2021_1166_1207,0.5886595845222473
